symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
